"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q204","SOT23_N","2572.598mil","1428.661mil","2572.598mil","1428.661mil","2610mil","1470mil","T","270.00","MMBT2222"
"Q203","SOT23_N","2572.598mil","1593.661mil","2572.598mil","1593.661mil","2610mil","1635mil","T","270.00","MMBT3906"
"Q102","ONSC-TO-220-3-221A-09","883mil","1031mil","883mil","1031mil","983mil","1031mil","T","270.00","NGTB15N60EG"
"Q202","SOT23_N","2722.598mil","1593.661mil","2722.598mil","1593.661mil","2760mil","1635mil","T","270.00","MMBT2222"
"Q100","SOT23_N","875mil","794mil","875mil","794mil","837.598mil","752.661mil","T","90.00","MMBT2222"
"P302","HDR1X5","3850mil","1895mil","3850mil","1695mil","3850mil","1695mil","T","90.00","ICSP"
"P301","HDR2X4","4505mil","337mil","4355mil","287mil","4355mil","287mil","T","360.00","CON_B"
"P300","HDR2X4","4503mil","2112mil","4353mil","2062mil","4353mil","2062mil","T","360.00","CON_A"
"P203","HDR1X3","1900mil","1020mil","1900mil","920mil","1900mil","920mil","T","90.00","COM"
"P202","HDR2X4","2646mil","157mil","2496mil","107mil","2496mil","107mil","T","360.00","CON_B"
"P201","HDR2X4","2644mil","1928mil","2494mil","1878mil","2494mil","1878mil","T","360.00","CON_A"
"P200","HDR1X3","2985mil","500mil","2985mil","400mil","2985mil","400mil","T","90.00","ICSP"
"P104","HDR2X4","865mil","157mil","715mil","107mil","715mil","107mil","T","360.00","CON_B"
"P103","HDR2X4","865mil","1930mil","715mil","1880mil","715mil","1880mil","T","360.00","CON_A"
"P100","Single_Wire_Lug","1490mil","1377.953mil","1490mil","1410mil","1490mil","1377.953mil","T","360.00","Single Wire Lug"
"D302","1.6X0.8X0.8","3855mil","1070mil","3855mil","1070mil","3855mil","1099.528mil","T","270.00","LED_BLUE"
"D301","1.6X0.8X0.8","3855mil","1232.5mil","3855mil","1232.5mil","3855mil","1262.028mil","T","270.00","LED_GREEN"
"D300","1.6X0.8X0.8","3855mil","1395mil","3855mil","1395mil","3855mil","1424.528mil","T","270.00","LED_RED"
